iter	Passed	Remaining
420	2553	3512
421	2559	3505
422	2564	3497
423	2569	3490
424	2574	3483
425	2579	3475
426	2584	3468
427	2589	3461
428	2595	3454
429	2600	3447
430	2606	3440
431	2611	3433
432	2617	3427
433	2622	3420
434	2628	3413
435	2634	3407
436	2645	3407
437	2650	3401
438	2656	3394
439	2662	3388
440	2669	3383
441	2675	3377
442	2681	3371
443	2688	3366
444	2697	3363
445	2703	3358
446	2712	3355
447	2722	3354
448	2730	3350
449	2739	3347
450	2748	3345
451	2757	3343
452	2766	3341
453	2775	3337
454	2786	3337
455	2795	3335
456	2806	3334
457	2816	3332
458	2825	3330
459	2835	3328
460	2847	3329
461	2854	3324
462	2860	3317
463	2868	3313
464	2875	3308
465	2897	3320
466	2903	3314
467	2914	3312
468	2920	3306
469	2927	3300
470	2932	3293
471	2943	3293
472	2949	3286
473	2954	3278
474	2959	3271
475	2966	3265
476	2974	3261
477	2979	3253
478	2985	3246
479	2992	3241
480	2998	3235
481	3005	3229
482	3012	3224
483	3019	3219
484	3026	3214
485	3033	3208
486	3040	3202
487	3046	3196
488	3053	3190
489	3059	3184
490	3066	3179
491	3072	3172
492	3078	3166
493	3085	3160
494	3091	3153
495	3097	3147
496	3104	3141
497	3110	3135
498	3117	3129
499	3123	3123
500	3129	3116
501	3135	3110
502	3141	3104
503	3147	3097
504	3154	3091
505	3160	3085
506	3167	3079
507	3174	3074
508	3181	3068
509	3188	3063
510	3195	3058
511	3202	3052
512	3209	3047
513	3217	3042
514	3224	3036
515	3231	3031
516	3238	3025
517	3245	3019
518	3251	3013
519	3258	3007
520	3264	3001
521	3271	2996
522	3279	2990
523	3286	2985
524	3294	2980
525	3301	2975
526	3308	2969
527	3314	2963
528	3321	2957
529	3328	2951
530	3335	2945
531	3342	2940
532	3348	2934
533	3355	2928
534	3363	2923
535	3375	2921
536	3383	2917
537	3392	2912
538	3398	2906
539	3406	2901
540	3413	2895
541	3420	2890
542	3427	2884
543	3434	2878
544	3443	2874
545	3452	2871
546	3462	2867
547	3471	2863
548	3484	2862
549	3496	2860
550	3507	2858
551	3514	2852
552	3522	2847
553	3530	2842
554	3537	2836
555	3546	2831
556	3554	2827
557	3561	2821
558	3568	2815
559	3574	2808
560	3580	2802
561	3587	2795
562	3593	2789
563	3598	2782
564	3604	2775
565	3610	2768
566	3617	2762
567	3623	2756
568	3630	2750
569	3638	2745
570	3645	2738
571	3653	2733
572	3660	2728
573	3669	2723
574	3677	2718
575	3685	2712
576	3693	2707
577	3700	2701
578	3707	2695
579	3716	2691
580	3723	2685
581	3730	2679
582	3736	2672
583	3743	2666
584	3750	2660
585	3756	2654
586	3763	2647
587	3770	2641
588	3776	2634
589	3782	2628
590	3788	2622
591	3794	2615
592	3800	2608
593	3806	2601
594	3812	2594
595	3819	2588
596	3824	2581
597	3830	2574
598	3836	2568
599	3841	2560
600	3847	2554
601	3853	2547
602	3858	2540
603	3864	2533
604	3870	2526
605	3877	2520
606	3883	2514
607	3890	2508
608	3896	2501
609	3902	2494
610	3907	2488
611	3913	2481
612	3919	2474
613	3925	2467
614	3931	2461
615	3938	2454
616	3944	2448
617	3950	2441
618	3955	2434
619	3961	2427
620	3966	2420
621	3972	2413
622	3977	2407
623	3983	2400
624	3988	2393
625	3993	2385
626	3998	2378
627	4004	2371
628	4009	2364
629	4014	2357
630	4019	2350
631	4024	2343
632	4029	2336
633	4034	2329
634	4039	2321
635	4044	2314
636	4049	2307
637	4054	2300
638	4060	2293
639	4065	2286
640	4070	2279
641	4075	2272
642	4081	2266
643	4086	2259
644	4095	2253
645	4102	2248
646	4122	2249
647	4129	2243
648	4138	2238
649	4147	2233
650	4155	2227
651	4161	2221
652	4168	2215
653	4175	2208
654	4181	2202
655	4200	2202
656	4207	2196
657	4214	2190
658	4221	2184
659	4228	2178
660	4235	2172
661	4241	2165
662	4248	2159
663	4255	2153
664	4261	2147
665	4266	2139
666	4271	2132
667	4276	2125
668	4281	2118
669	4286	2111
670	4291	2104
671	4296	2097
672	4301	2090
673	4306	2082
674	4311	2075
675	4316	2068
676	4321	2061
677	4325	2054
678	4331	2047
679	4336	2040
680	4341	2033
681	4346	2026
682	4351	2019
683	4357	2012
684	4362	2006
685	4367	1999
686	4372	1992
687	4377	1985
688	4382	1978
689	4388	1971
690	4393	1964
691	4398	1957
692	4404	1951
693	4410	1944
694	4415	1937
695	4420	1930
696	4426	1924
697	4431	1917
698	4437	1910
699	4442	1903
700	4447	1896
701	4452	1889
702	4458	1883
703	4463	1876
704	4469	1870
705	4474	1863
706	4479	1856
707	4484	1849
708	4489	1842
709	4494	1835
710	4498	1828
711	4503	1821
712	4508	1814
713	4514	1808
714	4521	1802
715	4534	1798
716	4541	1792
717	4548	1786
718	4554	1780
719	4560	1773
720	4567	1767
721	4572	1760
722	4579	1754
723	4585	1748
724	4592	1741
725	4600	1736
726	4610	1731
727	4621	1726
728	4631	1721
729	4640	1716
730	4646	1709
731	4653	1703
732	4657	1696
733	4663	1689
734	4668	1683
735	4673	1676
736	4679	1669
737	4685	1663
738	4691	1656
739	4696	1650
740	4702	1643
741	4707	1636
742	4713	1630
743	4717	1623
744	4731	1619
745	4736	1612
746	4742	1606
747	4748	1599
748	4754	1593
749	4760	1586
750	4765	1580
751	4771	1573
752	4777	1566
753	4783	1560
754	4788	1553
755	4792	1546
756	4798	1540
757	4803	1533
758	4808	1526
759	4814	1520
760	4820	1514
761	4828	1508
762	4835	1501
763	4841	1495
764	4847	1489
765	4853	1482
766	4861	1476
767	4868	1470
768	4874	1464
769	4880	1457
770	4886	1451
771	4892	1445
772	4900	1439
773	4917	1435
774	4923	1429
775	4932	1423
776	4938	1417
777	4947	1411
778	4955	1405
779	4961	1399
780	4967	1393
781	4975	1386
782	4984	1381
783	4990	1374
784	4997	1368
785	5003	1362
786	5010	1356
787	5017	1349
788	5023	1343
789	5029	1337
790	5035	1330
791	5042	1324
792	5047	1317
793	5053	1311
794	5059	1304
795	5064	1298
796	5070	1291
797	5075	1284
798	5080	1278
799	5085	1271
800	5090	1264
801	5095	1258
802	5100	1251
803	5105	1244
804	5110	1238
805	5115	1231
806	5121	1224
807	5126	1218
808	5132	1211
809	5137	1205
810	5143	1198
811	5148	1192
812	5153	1185
813	5159	1178
814	5164	1172
815	5169	1165
816	5174	1159
817	5180	1152
818	5185	1146
819	5191	1139
820	5196	1133
821	5202	1126
822	5207	1120
823	5213	1113
824	5217	1106
825	5222	1100
826	5227	1093
827	5232	1086
828	5237	1080
829	5242	1073
830	5246	1067
831	5251	1060
832	5256	1053
833	5261	1047
834	5266	1040
835	5271	1034
836	5276	1027
837	5281	1020
838	5286	1014
839	5290	1007
840	5296	1001
841	5301	994
842	5307	988
843	5311	981
844	5317	975
845	5322	968
846	5327	962
847	5332	955
848	5337	949
849	5342	942
850	5347	936
851	5353	929
852	5358	923
853	5365	917
854	5371	910
855	5377	904
856	5409	902
857	5415	896
858	5423	890
859	5430	884
860	5437	877
861	5443	871
862	5450	865
863	5457	859
864	5468	853
865	5475	847
866	5481	840
867	5488	834
868	5494	828
869	5500	821
870	5506	815
871	5513	809
872	5519	802
873	5523	796
874	5529	789
875	5534	783
876	5539	776
877	5544	770
878	5548	763
879	5554	757
880	5559	750
881	5564	744
882	5569	737
883	5574	731
884	5579	725
885	5583	718
886	5589	712
887	5593	705
888	5598	699
889	5603	692
890	5608	686
891	5613	679
892	5619	673
893	5624	666
894	5629	660
895	5634	654
896	5638	647
897	5643	641
898	5648	634
899	5654	628
900	5659	621
901	5665	615
902	5672	609
903	5678	603
904	5684	596
905	5690	590
906	5696	584
907	5702	577
908	5708	571
909	5714	565
910	5722	559
911	5729	552
912	5737	546
913	5743	540
914	5750	534
915	5759	528
916	5765	521
917	5772	515
918	5792	510
919	5798	504
920	5803	497
921	5809	491
922	5814	485
923	5821	478
924	5827	472
925	5833	466
926	5840	459
927	5846	453
928	5852	447
929	5858	440
930	5863	434
931	5868	428
932	5873	421
933	5879	415
934	5884	409
935	5889	402
936	5895	396
937	5902	390
938	5908	383
939	5914	377
940	5921	371
941	5928	365
942	5935	358
943	5942	352
944	5948	346
945	5955	339
946	5962	333
947	5968	327
948	5974	321
949	5980	314
950	5987	308
951	5993	302
952	5999	295
953	6006	289
954	6012	283
955	6019	277
956	6028	270
957	6037	264
958	6046	258
959	6054	252
960	6061	245
961	6068	239
962	6074	233
963	6079	227
964	6086	220
965	6094	214
966	6101	208
967	6112	202
968	6123	195
969	6140	189
970	6151	183
971	6174	177
972	6181	171
973	6188	165
974	6195	158
975	6201	152
976	6206	146
977	6212	139
978	6217	133
979	6223	127
980	6229	120
981	6235	114
982	6241	107
983	6247	101
984	6252	95
985	6257	88
986	6262	82
987	6267	76
988	6272	69
989	6278	63
990	6283	57
991	6289	50
992	6295	44
993	6301	38
994	6306	31
995	6312	25
996	6317	19
997	6322	12
998	6328	6
999	6333	0
