iter	Logloss
0	0.6817566301
1	0.6720407878
2	0.6624858945
3	0.6541532767
4	0.6446802666
5	0.6364986735
6	0.6284511894
7	0.6198197985
8	0.6111984008
9	0.6040464577
10	0.5972201907
11	0.5902641407
12	0.5840425335
13	0.5795411469
14	0.5745754776
15	0.5690678784
16	0.5646537164
17	0.5598254308
18	0.5548778011
19	0.5494184817
20	0.5449689868
21	0.5407906413
22	0.5362514765
23	0.5322591005
24	0.5289854034
25	0.5253832856
26	0.5220100968
27	0.5195117798
28	0.5172732135
29	0.5150242095
30	0.5123419641
31	0.5092748412
32	0.5070154572
33	0.5049373719
34	0.5024245035
35	0.4992307807
36	0.4968731751
37	0.4952846114
38	0.4925576403
39	0.4904013027
40	0.4883905772
41	0.4868861872
42	0.4853916622
43	0.4839577732
44	0.4828968726
45	0.4809650379
46	0.479053898
47	0.4770360184
48	0.4752954662
49	0.4733777546
50	0.4723583006
51	0.4709368125
52	0.4692543774
53	0.4675757733
54	0.4658790019
55	0.4645099446
56	0.4633586429
57	0.4621230313
58	0.4611913225
59	0.4596730863
60	0.4582465963
61	0.4570105033
62	0.4563058484
63	0.4551324274
64	0.4536808527
65	0.4524375495
66	0.4512805278
67	0.4500780043
68	0.4489605854
69	0.4481864524
70	0.4472638153
71	0.44611912
72	0.4450742285
73	0.4443133589
74	0.4435286678
75	0.4425912171
76	0.4412824956
77	0.4404869033
78	0.4392611395
79	0.4381794424
80	0.4375547
81	0.4366152669
82	0.4362037948
83	0.4354023312
84	0.4348266291
85	0.4340583492
86	0.4335947896
87	0.433024236
88	0.4323051963
89	0.4316251921
90	0.4309876027
91	0.4303611276
92	0.4294325439
93	0.4291042366
94	0.4283253559
95	0.4275511157
96	0.4270937762
97	0.4263439383
98	0.4256438549
99	0.4247856332
100	0.4242913719
101	0.4236304558
102	0.4227641404
103	0.4220784662
104	0.421527497
105	0.4211948667
106	0.4204904093
107	0.4201987386
108	0.4198192219
109	0.4194249281
110	0.4190110405
111	0.4182279102
112	0.417550031
113	0.4170642955
114	0.4165919108
115	0.415951438
116	0.4152254702
117	0.4148331539
118	0.4146993135
119	0.4142220141
120	0.4138053317
121	0.4132824614
122	0.4127908309
123	0.4121982205
124	0.4117397331
125	0.4113494359
126	0.4110881315
127	0.4107614523
128	0.4104372526
129	0.4095004356
130	0.4091272567
131	0.4087998283
132	0.4083445748
133	0.4080378959
134	0.4076104867
135	0.4072320761
136	0.4067507014
137	0.406515557
138	0.4060827537
139	0.4055384258
140	0.4049617067
141	0.4046430004
142	0.4042363146
143	0.4038537562
144	0.4035266275
145	0.4033629122
146	0.4030805579
147	0.402782103
148	0.4025248447
149	0.4019986242
150	0.4017248727
151	0.4015334251
152	0.4007679947
153	0.4005345583
154	0.4000989404
155	0.3995859693
156	0.3991995912
157	0.3990380044
158	0.3988381332
159	0.3983842417
160	0.3980274097
161	0.3976866543
162	0.3972329427
163	0.3967642708
164	0.3965217152
165	0.396413843
166	0.3961325519
167	0.3959149784
168	0.39576413
169	0.3955420037
170	0.3953572285
171	0.3951623895
172	0.3950272931
173	0.3948167867
174	0.3945520259
175	0.3943062966
176	0.394093114
177	0.393870631
178	0.3935754901
179	0.3931546554
180	0.3928765063
181	0.3926187351
182	0.3924440242
183	0.392199583
184	0.3919700497
185	0.3916785347
186	0.3914916845
187	0.3912442104
188	0.3910053918
189	0.3906118707
190	0.3904759228
191	0.3901914995
192	0.3899732762
193	0.3897286655
194	0.3893666904
195	0.3890073924
196	0.3887631402
197	0.3885666859
198	0.3882232585
199	0.3880067798
200	0.3877242608
201	0.3875741156
202	0.3873831137
203	0.3871817694
204	0.3869148288
205	0.3865821129
206	0.3863612385
